"Cells"	"Patients"
"A12_P4_M39"	"P2"
"A2_P1_M39"	"P2"
"A2_P2_M39"	"P2"
"A3_P1_M39"	"P2"
"A3_P4_M39"	"P2"
"A4_P2_M39"	"P2"
"A5_P4_M39"	"P2"
"A6_P1_M39"	"P2"
"A7_P2_M39"	"P2"
"A7_P3_M39"	"P2"
"A8_P2_M39"	"P2"
"A8_P3_M39"	"P2"
"A8_P4_M39"	"P2"
"A9_P4_M39"	"P2"
"B11_P1_M39"	"P2"
"B12_P1_M39"	"P2"
"B12_P2_M39"	"P2"
"B1_P1_M39"	"P2"
"B1_P3_M39"	"P2"
"B1_P4_M39"	"P2"
"B2_P4_M39"	"P2"
"B3_P3_M39"	"P2"
"B4_P1_M39"	"P2"
"B5_P1_M39"	"P2"
"B5_P3_M39"	"P2"
"B5_P4_M39"	"P2"
"B6_P1_M39"	"P2"
"B6_P3_M39"	"P2"
"B6_P4_M39"	"P2"
"B7_P1_M39"	"P2"
"B7_P2_M39"	"P2"
"B7_P3_M39"	"P2"
"B8_P3_M39"	"P2"
"B9_P4_M39"	"P2"
"C10_P4_M39"	"P2"
"C11_P3_M39"	"P2"
"C12_P2_M39"	"P2"
"C12_P3_M39"	"P2"
"C12_P4_M39"	"P2"
"C1_P1_M39"	"P2"
"C1_P2_M39"	"P2"
"C1_P4_M39"	"P2"
"C2_P1_M39"	"P2"
"C3_P1_M39"	"P2"
"C3_P2_M39"	"P2"
"C4_P4_M39"	"P2"
"C5_P4_M39"	"P2"
"C6_P1_M39"	"P2"
"C7_P1_M39"	"P2"
"C8_P1_M39"	"P2"
"C8_P2_M39"	"P2"
"C8_P4_M39"	"P2"
"C9_P1_M39"	"P2"
"C9_P4_M39"	"P2"
"D10_P1_M39"	"P2"
"D10_P2_M39"	"P2"
"D10_P4_M39"	"P2"
"D11_P1_M39"	"P2"
"D11_P2_M39"	"P2"
"D11_P4_M39"	"P2"
"D12_P1_M39"	"P2"
"D12_P2_M39"	"P2"
"D12_P3_M39"	"P2"
"D12_P4_M39"	"P2"
"D1_P1_M39"	"P2"
"D1_P2_M39"	"P2"
"D1_P4_M39"	"P2"
"D2_P1_M39"	"P2"
"D3_P1_M39"	"P2"
"D4_P4_M39"	"P2"
