Cells	Patients
C9_P1_MMD1.84B_L001	P5
C9_P2_MMD1.84B_L001	P5
C9_P4_MMD1.84B_L001	P5
D10_P1_MMD1.84B_L001	P5
D10_P2_MMD1.84B_L001	P5
D10_P3_MMD1.84B_L001	P5
D10_P4_MMD1.84B_L001	P5
D11_P1_MMD1.84B_L001	P5
D11_P2_MMD1.84B_L001	P5
D11_P3_MMD1.84B_L001	P5
D11_P4_MMD1.84B_L001	P5
D12_P1_MMD1.84B_L001	P5
D12_P2_MMD1.84B_L001	P5
D12_P3_MMD1.84B_L001	P5
D12_P4_MMD1.84B_L001	P5
D1_P1_MMD1.84B_L001	P5
D1_P2_MMD1.84B_L001	P5
D1_P3_MMD1.84B_L001	P5
D1_P4_MMD1.84B_L001	P5
D2_P3_MMD1.84B_L001	P5
D2_P4_MMD1.84B_L001	P5
D3_P1_MMD1.84B_L001	P5
D3_P4_MMD1.84B_L001	P5
D4_P2_MMD1.84B_L001	P5
D4_P3_MMD1.84B_L001	P5
D4_P4_MMD1.84B_L001	P5
D5_P2_MMD1.84B_L001	P5
D5_P3_MMD1.84B_L001	P5
D5_P4_MMD1.84B_L001	P5
D6_P1_MMD1.84B_L001	P5
D6_P4_MMD1.84B_L001	P5
D7_P1_MMD1.84B_L001	P5
D7_P4_MMD1.84B_L001	P5
D8_P1_MMD1.84B_L001	P5
D8_P2_MMD1.84B_L001	P5
D8_P3_MMD1.84B_L001	P5
D8_P4_MMD1.84B_L001	P5
D9_P1_MMD1.84B_L001	P5
D9_P2_MMD1.84B_L001	P5
D9_P3_MMD1.84B_L001	P5
E10_P1_MMD1.84B_L001	P5
E10_P3_MMD1.84B_L001	P5
E10_P4_MMD1.84B_L001	P5
E11_P1_MMD1.84B_L001	P5
E11_P2_MMD1.84B_L001	P5
E11_P3_MMD1.84B_L001	P5
E11_P4_MMD1.84B_L001	P5
E12_P1_MMD1.84B_L001	P5
E12_P2_MMD1.84B_L001	P5
E12_P4_MMD1.84B_L001	P5
E1_P1_MMD1.84B_L001	P5
E1_P2_MMD1.84B_L001	P5
E2_P3_MMD1.84B_L001	P5
E3_P4_MMD1.84B_L001	P5
E4_P1_MMD1.84B_L001	P5
E4_P2_MMD1.84B_L001	P5
E4_P4_MMD1.84B_L001	P5
E5_P2_MMD1.84B_L001	P5
E5_P3_MMD1.84B_L001	P5
E5_P4_MMD1.84B_L001	P5
E6_P1_MMD1.84B_L001	P5
E6_P3_MMD1.84B_L001	P5
E6_P4_MMD1.84B_L001	P5
E7_P1_MMD1.84B_L001	P5
E7_P2_MMD1.84B_L001	P5
E7_P3_MMD1.84B_L001	P5
E7_P4_MMD1.84B_L001	P5
E8_P1_MMD1.84B_L001	P5
E8_P2_MMD1.84B_L001	P5
E8_P3_MMD1.84B_L001	P5
E9_P1_MMD1.84B_L001	P5
E9_P2_MMD1.84B_L001	P5
F10_P1_MMD1.84B_L001	P5
F10_P3_MMD1.84B_L001	P5
F10_P4_MMD1.84B_L001	P5
F12_P1_MMD1.84B_L001	P5
F12_P3_MMD1.84B_L001	P5
F12_P4_MMD1.84B_L001	P5
F1_P1_MMD1.84B_L001	P5
F1_P2_MMD1.84B_L001	P5
F1_P4_MMD1.84B_L001	P5
F2_P3_MMD1.84B_L001	P5
F3_P1_MMD1.84B_L001	P5
F3_P2_MMD1.84B_L001	P5
F3_P3_MMD1.84B_L001	P5
F4_P2_MMD1.84B_L001	P5
F4_P3_MMD1.84B_L001	P5
F5_P2_MMD1.84B_L001	P5
F5_P3_MMD1.84B_L001	P5
F5_P4_MMD1.84B_L001	P5
F7_P1_MMD1.84B_L001	P5
F7_P2_MMD1.84B_L001	P5
F7_P4_MMD1.84B_L001	P5
F8_P1_MMD1.84B_L001	P5
F8_P3_MMD1.84B_L001	P5
F8_P4_MMD1.84B_L001	P5
F9_P1_MMD1.84B_L001	P5
F9_P2_MMD1.84B_L001	P5
F9_P3_MMD1.84B_L001	P5
G10_P2_MMD1.84B_L001	P5
G10_P4_MMD1.84B_L001	P5
G11_P1_MMD1.84B_L001	P5
G11_P3_MMD1.84B_L001	P5
G12_P1_MMD1.84B_L001	P5
G12_P3_MMD1.84B_L001	P5
G12_P4_MMD1.84B_L001	P5
G1_P1_MMD1.84B_L001	P5
G1_P2_MMD1.84B_L001	P5
G2_P1_MMD1.84B_L001	P5
G2_P2_MMD1.84B_L001	P5
G2_P3_MMD1.84B_L001	P5
G2_P4_MMD1.84B_L001	P5
G3_P2_MMD1.84B_L001	P5
G3_P3_MMD1.84B_L001	P5
G3_P4_MMD1.84B_L001	P5
G4_P3_MMD1.84B_L001	P5
G5_P1_MMD1.84B_L001	P5
G5_P2_MMD1.84B_L001	P5
G5_P3_MMD1.84B_L001	P5
G5_P4_MMD1.84B_L001	P5
G6_P2_MMD1.84B_L001	P5
G6_P4_MMD1.84B_L001	P5
G7_P2_MMD1.84B_L001	P5
G7_P3_MMD1.84B_L001	P5
